Co molar ratio,Mn molar ratio,Fe molar ratio,Ni molar ratio,I (mA/cm2),FE (%),stability (-)
0.3,0.0,0.7,0.0,25.67,49.36,1.03
0.3,0.0,0.6,0.1,28.44,62.68,1.03
0.3,0.0,0.5,0.2,30.15,63.48,1.03
0.3,0.0,0.4,0.3,29.06,67.68,1.01
0.3,0.0,0.3,0.4,29.98,70.77,1.02
0.3,0.0,0.2,0.5,30.23,65.07,1.02
0.3,0.0,0.1,0.6,31.10,67.73,1.00
0.3,0.0,0.0,0.7,30.73,64.61,0.96
0.2,0.8,0.0,0.0,19.31,10.31,0.97
0.2,0.7,0.1,0.0,24.31,9.64,0.98
0.2,0.7,0.0,0.1,22.83,3.49,1.00
0.2,0.6,0.2,0.0,21.20,15.51,0.96
0.2,0.6,0.1,0.1,22.92,12.50,0.98
0.2,0.6,0.0,0.2,20.50,5.65,0.99
0.2,0.5,0.3,0.0,20.46,20.12,0.96
0.2,0.5,0.2,0.1,23.25,17.03,0.99
0.2,0.5,0.1,0.2,24.35,16.69,1.00
0.2,0.5,0.0,0.3,24.04,5.48,1.01
0.2,0.4,0.4,0.0,19.99,34.36,1.01
0.2,0.4,0.3,0.1,23.90,24.08,1.01
0.2,0.4,0.2,0.2,25.10,23.78,1.00
0.2,0.4,0.1,0.3,25.23,26.42,1.00
0.2,0.4,0.0,0.4,23.33,16.29,0.97
0.2,0.3,0.5,0.0,22.90,38.80,1.02
0.2,0.3,0.4,0.1,24.73,34.03,1.03
0.2,0.3,0.3,0.2,26.35,40.02,1.02
0.2,0.3,0.2,0.3,26.38,46.66,1.01
0.2,0.3,0.1,0.4,26.50,46.01,0.98
0.2,0.3,0.0,0.5,25.60,39.82,0.94
0.2,0.2,0.6,0.0,23.34,58.50,1.04
0.2,0.2,0.5,0.1,25.38,47.87,1.03
0.2,0.2,0.4,0.2,26.50,55.18,1.04
0.2,0.2,0.3,0.3,27.60,57.26,1.02
0.2,0.2,0.2,0.4,28.67,53.47,1.00
0.2,0.2,0.1,0.5,27.75,50.63,0.94
0.2,0.2,0.0,0.6,26.31,48.96,0.88
0.2,0.1,0.7,0.0,25.08,52.00,1.04
0.2,0.1,0.6,0.1,26.60,55.70,1.03
0.2,0.1,0.5,0.2,26.75,57.76,1.03
0.2,0.1,0.4,0.3,28.96,61.73,1.03
0.2,0.1,0.3,0.4,29.52,61.97,1.02
0.2,0.1,0.2,0.5,29.19,63.83,0.99
0.2,0.1,0.1,0.6,28.46,58.79,0.95
0.2,0.1,0.0,0.7,29.96,57.86,0.89
0.2,0.0,0.8,0.0,23.39,54.67,1.02
0.2,0.0,0.7,0.1,24.67,55.81,1.05
0.2,0.0,0.6,0.2,26.96,60.50,1.03
0.2,0.0,0.5,0.3,28.69,59.79,1.07
0.2,0.0,0.4,0.4,30.13,63.93,1.05
0.2,0.0,0.3,0.5,29.44,61.22,1.03
0.2,0.0,0.2,0.6,29.71,62.64,1.03
0.2,0.0,0.1,0.7,30.52,66.60,1.00
0.2,0.0,0.0,0.8,27.92,63.97,0.98
0.1,0.9,0.0,0.0,21.81,7.04,0.81
0.1,0.8,0.1,0.0,19.21,7.69,0.56
0.1,0.8,0.0,0.1,22.56,5.90,0.95
0.1,0.7,0.2,0.0,17.29,11.23,0.47
0.1,0.7,0.1,0.1,18.54,9.65,0.62
0.1,0.7,0.0,0.2,13.67,7.52,0.96
0.1,0.6,0.3,0.0,11.81,16.41,0.49
0.1,0.6,0.2,0.1,20.79,13.94,0.57
0.1,0.6,0.1,0.2,21.58,9.83,0.77
0.1,0.6,0.0,0.3,16.38,6.10,0.96
0.1,0.5,0.4,0.0,13.16,21.84,0.81
